ID,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP
66,FDC46,17.7,LF,0.195068226,Snack Foods,185.4266
67,FDH19,19.35,Low Fat,0.033082215,Meat,172.5738
68,FDZ03,13.65,Regular,0.078946455,Dairy,186.024
69,DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526
70,NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841
71,FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764
72,FDL12,15.85,Regular,0.121531501,Baking Goods,59.222
73,FDH35,18.25,Low Fat,0.0,Starchy Foods,164.7526
74,FDG02,7.855,Low Fat,0.011324862,Canned,189.6188
75,NCZ18,7.825,low fat,0.186357148,Household,254.3698
76,FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176
77,FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422
78,FDN48,12.857645184135976,Low Fat,0.113720344,Baking Goods,89.9804
79,FDL04,19.0,Low Fat,0.112556507,Frozen Foods,104.9622
80,FDV25,5.905,Low Fat,0.0,Canned,222.5456
81,FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87
82,FDN04,11.8,reg,0.014087057,Frozen Foods,180.3344
83,FDV45,16.75,low fat,0.045230944,Snack Foods,187.9556
84,NCL18,12.857645184135976,Low Fat,0.293417759,Household,194.6136
85,FDR12,12.857645184135976,Regular,0.031382044,Baking Goods,171.3764
86,FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028
87,FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992
88,FDQ49,12.857645184135976,Regular,0.039057677,Breakfast,155.963
89,FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436
90,FDN27,20.85,Low Fat,0.039624006,Meat,117.2808
91,FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173
92,DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138
93,DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614
94,FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893
95,NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492
96,FDU04,12.857645184135976,Low Fat,0.009714595,Frozen Foods,120.0414
97,FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046
98,FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556
99,NCP18,12.857645184135976,Low Fat,0.028459761,Household,149.9708
100,FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556
101,FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708
102,FDD10,12.857645184135976,Regular,0.045797829,Snack Foods,178.5344
103,FDW57,8.31,Regular,0.115857223,Snack Foods,179.1028
104,DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822
105,FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902
106,FDH14,17.1,Regular,0.0467696,Canned,141.1838
107,FDA47,10.5,Regular,0.116576702,Baking Goods,163.121
108,FDG12,6.635,Regular,0.0,Baking Goods,121.3098
109,DRE60,12.857645184135976,low fat,0.278974075,Soft Drinks,225.372
110,DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138
111,FDD03,13.3,Low Fat,0.079806266,Dairy,232.53
112,FDS52,8.89,low fat,0.005505481,Frozen Foods,102.4016
113,FDW39,12.857645184135976,Regular,0.064625342,Meat,176.937
114,FDX34,12.857645184135976,Low Fat,0.071636937,Snack Foods,121.7098
115,FDV11,9.1,Regular,0.0,Breads,173.2054
116,FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906
117,FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478
118,FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228
119,DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154
120,FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694
121,NCF19,13.0,Low Fat,0.035307322,Household,47.5034
122,DRJ13,12.65,LF,0.063017847,Soft Drinks,159.0578
123,FDB14,20.25,Regular,0.171938781,Canned,92.512
124,FDJ38,8.6,Regular,0.040197932,Canned,190.153
125,FDW11,12.6,Low Fat,0.049058014,Breads,62.7194
126,FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041
127,DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276
128,FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956
129,DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682
130,NCP30,20.5,Low Fat,0.032835147,Household,40.2822
131,FDY25,12.857645184135976,Low Fat,0.033809913,Canned,180.5976
132,NCH54,13.5,Low Fat,0.07266912,Household,160.292
133,NCR53,12.857645184135976,Low Fat,0.144338493,Health and Hygiene,224.4404
134,FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016
135,FDG02,7.855,Low Fat,0.011307038,Canned,188.5188
136,NCO26,7.235,Low Fat,0.076855628,Household,116.0492
137,FDH35,12.857645184135976,Low Fat,0.059956876,Starchy Foods,165.4526
138,FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852
139,FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172
140,NCN07,18.5,Low Fat,0.056816465,Others,132.1284
141,NCC31,8.02,Low Fat,0.019866705,Household,154.5972
142,NCX54,9.195,Low Fat,0.048331717,Household,105.1622
143,NCO55,12.8,Low Fat,0.091221855,Others,105.5938
144,NCC30,16.6,Low Fat,0.027622076,Household,177.6344
145,FDI16,14.0,Regular,0.0,Frozen Foods,53.064
146,FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802
147,FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404
148,NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.692
149,FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237
150,NCO26,7.235,Low Fat,0.076841095,Household,117.5492
151,DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692
152,FDR28,13.85,reg,0.026001976,Frozen Foods,161.521
153,FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426
154,DRK12,12.857645184135976,Low Fat,0.041683481,Soft Drinks,31.29
155,FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172
156,NCI18,18.35,Low Fat,0.014081156,Household,223.5746
157,FDB36,5.465,Regular,0.0,Baking Goods,132.5626
158,FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358
159,DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.9154
160,FDQ28,14.0,Regular,0.060376776,Frozen Foods,154.5656
161,FDM22,14.0,Regular,0.04192285,Snack Foods,54.764
162,FDR07,12.857645184135976,Low Fat,0.077367431,Fruits and Vegetables,97.0094
163,FDV25,5.905,Low Fat,0.045838211,Canned,222.5456
164,DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518
165,FDW51,6.155,Regular,0.094659871,Meat,214.556
166,DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958
167,FDP25,15.2,Low Fat,0.021327477,Canned,216.8824
168,FDL50,12.15,Regular,0.042485444,Canned,125.0046
169,NCB30,12.857645184135976,Low Fat,0.025578526,Household,198.8084
170,FDW11,12.6,Low Fat,0.0489808,Breads,61.9194
171,NCM43,14.5,Low Fat,0.019471688,Others,164.821
172,FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738
173,FDM15,11.8,Regular,0.057373797,Meat,151.4366
174,FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318
175,FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834
176,FDR47,17.85,LF,0.0,Breads,196.5794
177,FDB35,12.3,Regular,0.064750025,Starchy Foods,92.6804
178,NCU05,11.8,Low Fat,0.098312421,Health and Hygiene,81.4618
179,DRY23,12.857645184135976,Regular,0.191013663,Soft Drinks,42.1112
180,FDO24,11.1,Low Fat,0.176573035,Baking Goods,157.4604
181,FDQ28,12.857645184135976,Regular,0.060134441,Frozen Foods,153.0656
182,FDV39,11.3,Low Fat,0.007294652,Meat,198.1426
183,NCO17,12.857645184135976,Low Fat,0.128478462,Health and Hygiene,117.944
184,FDU50,5.75,Regular,0.075107656,Dairy,112.8176
185,FDT12,12.857645184135976,Regular,0.049381406,Baking Goods,226.8062
186,FDK58,11.35,Regular,0.045165796,Snack Foods,100.0016
187,FDO08,12.857645184135976,Regular,0.09415375,Fruits and Vegetables,165.7526
188,NCW29,14.0,Low Fat,0.028907832,Health and Hygiene,130.431
189,FDE04,19.75,Regular,0.018059621,Frozen Foods,179.766
190,NCB19,6.525,Low Fat,0.090436094,Household,85.0882
191,FDV15,10.3,Low Fat,0.146399712,Meat,103.9648
192,FDL58,5.78,Regular,0.074264356,Snack Foods,264.7568
193,FDA08,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526
194,FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324
195,NCX06,12.857645184135976,Low Fat,0.01561108,Household,182.5976
196,FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164
197,FDB41,19.0,Regular,0.097313129,Frozen Foods,48.0718
198,NCN55,14.6,Low Fat,0.059582996,Others,238.8538
199,FDE40,12.857645184135976,Regular,0.098663652,Dairy,62.9194
200,FDX49,12.857645184135976,reg,0.101338651,Canned,232.63
201,NCM53,18.75,Low Fat,0.052146456,Health and Hygiene,104.628
202,FDE36,5.26,Regular,0.041764487,Baking Goods,161.8868
203,FDN57,18.25,Low Fat,0.054344186,Snack Foods,140.2154
204,FDI24,12.857645184135976,Low Fat,0.078362484,Baking Goods,177.937
205,FDI19,15.1,Low Fat,0.052339069,Meat,242.7512
206,FDF24,15.5,Regular,0.042464962,Baking Goods,81.5934
207,FDG52,13.65,Low Fat,0.065732883,Frozen Foods,45.7402
208,DRF36,16.1,LF,0.023625114,Soft Drinks,189.3846
209,FDS45,12.857645184135976,Regular,0.051643608,Snack Foods,107.3622
210,FDX40,12.85,Low Fat,0.165694219,Frozen Foods,39.7164
211,DRK12,9.5,LF,0.041878397,Soft Drinks,32.99
212,DRC27,13.8,Low Fat,0.058091482,Dairy,245.1802
213,FDL58,5.78,Regular,0.0,Snack Foods,263.7568
214,NCD30,19.7,Low Fat,0.026903714,Household,96.0726
215,NCZ54,14.65,Low Fat,0.0,Household,161.5552
216,FDE10,6.67,Regular,0.150554711,Snack Foods,130.0626
217,FDR44,6.11,Regular,0.0,Fruits and Vegetables,131.2968
218,FDP28,13.65,Regular,0.134975628,Frozen Foods,260.0936
219,FDX15,17.2,Low Fat,0.15616879,Meat,160.6578
220,FDA39,6.32,LF,0.0,Meat,40.2822
221,FDY24,4.88,Regular,0.133700752,Baking Goods,52.9298
222,FDC60,5.425,Regular,0.115119905,Baking Goods,88.3514
223,FDH28,15.85,Regular,0.110030997,Frozen Foods,37.2506
224,FDT25,7.5,Low Fat,0.051038045,Canned,121.7072
225,DRJ13,12.65,Low Fat,0.062837968,Soft Drinks,161.5578
226,NCO07,12.857645184135976,Low Fat,0.017116983,Others,211.956
227,FDW20,20.75,Low Fat,0.024129332,Fruits and Vegetables,124.173
228,DRF27,12.857645184135976,Low Fat,0.049754975,Dairy,152.134
229,FDS49,9.0,Low Fat,0.0,Canned,79.7644
230,FDX25,12.857645184135976,Low Fat,0.101561568,Canned,181.9292
231,NCX42,12.857645184135976,Low Fat,0.005949644,Household,165.6526
232,FDG33,12.857645184135976,Regular,0.13956116,Seafood,170.4764
233,FDL56,14.1,Low Fat,0.126035694,Fruits and Vegetables,86.4198
234,FDF14,7.55,Low Fat,0.027164679,Canned,152.334
235,NCD06,13.0,Low Fat,0.099325278,Household,45.406
236,DRM47,12.857645184135976,Low Fat,0.04357366,Hard Drinks,192.8846
237,FDS46,12.857645184135976,Regular,0.082741482,Snack Foods,118.7782
238,FDB35,12.3,Regular,0.064565202,Starchy Foods,92.9804
239,FDX21,12.857645184135976,LF,0.084554569,Snack Foods,109.8912
240,NCU05,12.857645184135976,Low Fat,0.058451805,Health and Hygiene,79.9618
241,NCR38,17.25,Low Fat,0.113748685,Household,251.3724
242,NCR18,15.85,Low Fat,0.020603511,Household,42.7112
243,NCU41,18.85,Low Fat,0.052044976,Health and Hygiene,192.1846
244,FDY56,16.35,Regular,0.062764429,Fruits and Vegetables,227.6062
245,DRJ51,14.1,Low Fat,0.087977262,Dairy,229.0668
246,FDK21,7.905,Low Fat,0.010010425,Snack Foods,249.0408
247,FDY25,12.0,Low Fat,0.033946163,Canned,179.3976
248,FDU44,12.15,Regular,0.058414678,Fruits and Vegetables,163.4552
249,FDL43,10.1,Low Fat,0.027106459,Meat,75.367
250,FDF05,17.5,Low Fat,0.027022883,Frozen Foods,262.491
251,DRF15,12.857645184135976,Low Fat,0.058153409,Dairy,152.034
252,FDL20,17.1,Low Fat,0.128937661,Fruits and Vegetables,112.3886
253,FDV32,7.785,Low Fat,0.088846306,Fruits and Vegetables,61.451
254,FDJ34,11.8,Regular,0.09357779,Snack Foods,125.9704
255,FDG08,13.15,Regular,0.165694678,Fruits and Vegetables,171.8764
256,FDQ04,12.857645184135976,Low Fat,0.148392623,Frozen Foods,41.5796
257,FDW13,8.5,Low Fat,0.098438394,Canned,51.1324
258,NCI17,8.645,Low Fat,0.143303291,Health and Hygiene,96.341
259,FDY03,17.6,Regular,0.076276208,Meat,110.9202
260,FDS12,9.1,Low Fat,0.175103435,Baking Goods,127.5362
261,FDJ55,12.8,Regular,0.023511371,Meat,225.9404
262,DRK01,7.63,Low Fat,0.06105276,Soft Drinks,95.4436
263,FDG28,9.285,Regular,0.049559042,Frozen Foods,246.4144
264,FDY38,13.6,Regular,0.119418124,Dairy,231.03
265,FDN01,8.895,Low Fat,0.072545601,Breakfast,176.237
266,NCR54,16.35,Low Fat,0.090486828,Household,195.211
267,FDG29,17.6,Low Fat,0.056245075,Frozen Foods,43.3454
268,FDG24,7.975,Low Fat,0.014618973,Baking Goods,85.225
269,FDG59,15.85,Low Fat,0.043479126,Starchy Foods,36.7164
270,FDM28,15.7,Low Fat,0.045166237,Frozen Foods,178.666
271,FDW04,8.985,Regular,0.057827101,Frozen Foods,128.831
272,FDS26,20.35,Low Fat,0.089394766,Dairy,260.1594
273,FDQ56,6.59,Low Fat,0.10550944,Fruits and Vegetables,85.6908
274,FDK51,19.85,Low Fat,0.005234153,Dairy,264.0884
275,FDL22,16.85,Low Fat,0.036390174,Snack Foods,91.4488
276,FDH19,12.857645184135976,Low Fat,0.03292824,Meat,173.1738
277,FDY55,16.75,Low Fat,0.081252534,Fruits and Vegetables,256.4988
278,FDY03,17.6,Regular,0.076552407,Meat,110.5202
279,FDK21,7.905,Low Fat,0.016758569,Snack Foods,250.4408
280,FDZ10,12.857645184135976,Low Fat,0.044248175,Snack Foods,126.202
281,FDZ32,7.785,Regular,0.038288087,Fruits and Vegetables,103.1964
282,NCZ18,7.825,Low Fat,0.186032678,Household,253.0698
283,NCF07,12.857645184135976,Low Fat,0.031867464,Household,101.0016
284,DRE49,20.75,Low Fat,0.021370201,Soft Drinks,153.0024
285,FDJ08,12.857645184135976,Low Fat,0.193772568,Fruits and Vegetables,190.3846
286,FDT39,6.26,Regular,0.009866049,Meat,151.1366
287,FDE08,18.2,Low Fat,0.082551042,Fruits and Vegetables,147.3734
288,NCD06,13.0,Low Fat,0.099729888,Household,46.306
289,FDB57,20.25,Regular,0.018801549,Fruits and Vegetables,222.1772
290,NCT54,8.695,Low Fat,0.119721451,Household,95.5094
291,DRF49,7.27,Low Fat,0.071222087,Soft Drinks,113.5518
292,FDM25,12.857645184135976,Regular,0.060371962,Breakfast,174.0712
293,FDF20,12.85,low fat,0.033287541,Fruits and Vegetables,198.4768
294,FDH27,7.075,Low Fat,0.05858462,Dairy,142.7128
295,FDV60,12.857645184135976,Regular,0.11679292,Baking Goods,196.211
296,FDY59,8.195,Low Fat,0.031452265,Baking Goods,94.3462
297,FDK36,7.09,Low Fat,0.00721395,Baking Goods,47.9034
298,NCM31,6.095,Low Fat,0.081196619,Others,141.4154
299,FDE33,19.35,Regular,0.049916364,Fruits and Vegetables,80.2644
300,FDU36,6.15,Low Fat,0.04627095,Baking Goods,99.3384
301,FDV13,12.857645184135976,Regular,0.02747716,Canned,87.9856
302,FDV20,12.857645184135976,Regular,0.104704537,Fruits and Vegetables,125.2678
303,NCQ54,17.7,Low Fat,0.012540003,Household,167.0474
304,FDO23,17.85,Low Fat,0.147023834,Breads,93.7436
305,DRE60,9.395,Low Fat,0.159657596,Soft Drinks,224.972
306,DRP47,15.75,Low Fat,0.141398626,Hard Drinks,250.5382
307,FDB21,7.475,Low Fat,0.148821808,Fruits and Vegetables,241.2854
308,FDR04,7.075,Low Fat,0.0,Frozen Foods,98.0068
309,FDX23,6.445,Low Fat,0.029691762,Baking Goods,92.6436
310,FDX19,19.1,Low Fat,0.096715523,Fruits and Vegetables,235.0958
311,FDD40,20.25,Regular,0.014790559,Dairy,193.6162
312,FDA01,15.0,Regular,0.054378253,Canned,59.1904
313,FDS33,6.67,Regular,0.123428594,Snack Foods,89.1514
314,FDM50,12.857645184135976,Regular,0.029943463,Canned,60.222
315,FDB29,16.7,Regular,0.052368061,Frozen Foods,112.7176
316,FDF46,7.07,Low Fat,0.093861144,Snack Foods,115.5834
317,FDA33,6.48,Low Fat,0.033968647,Snack Foods,148.0076
318,FDC08,19.0,Regular,0.173154079,Fruits and Vegetables,228.272
319,FDB53,13.35,Low Fat,0.139735226,Frozen Foods,147.5392
320,FDY31,12.857645184135976,Low Fat,0.043351896,Fruits and Vegetables,146.6418
321,DRQ35,12.857645184135976,Low Fat,0.042086652,Hard Drinks,122.4388
322,FDX36,9.695,Regular,0.12848269,Baking Goods,223.9404
323,DRD13,15.0,Low Fat,0.049357077,Soft Drinks,62.6168
324,FDC52,11.15,Regular,0.008326735,Dairy,149.9708
325,FDB45,20.85,Low Fat,0.021362955,Fruits and Vegetables,103.2306
326,NCK19,9.8,Low Fat,0.151420934,Others,194.3478
327,FDV51,16.35,Low Fat,0.032511818,Meat,165.0842
328,FDZ35,9.6,Regular,0.022323658,Breads,101.299
329,NCW17,12.857645184135976,Low Fat,0.019292355,Health and Hygiene,129.9994
330,FDV59,13.35,Low Fat,0.048124443,Breads,216.7166
331,DRH39,20.7,Low Fat,0.09261307,Dairy,76.367
332,FDN60,12.857645184135976,Low Fat,0.094697274,Baking Goods,158.4604
333,FDU55,16.2,Low Fat,0.035984104,Fruits and Vegetables,260.6278
334,FDN58,12.857645184135976,Regular,0.056596985,Snack Foods,230.9984
335,FDC41,12.857645184135976,Low Fat,0.2047,Frozen Foods,76.867
336,FDO01,12.857645184135976,Regular,0.020618324,Breakfast,129.3994
337,NCO43,5.5,Low Fat,0.04709821,Others,101.3016
338,FDQ07,15.1,Regular,0.087584126,Fruits and Vegetables,221.7456
339,FDF28,15.7,Regular,0.038078899,Frozen Foods,122.9046
340,FDM01,7.895,reg,0.095102092,Breakfast,104.4332
341,FDY49,12.857645184135976,Regular,0.011953902,Canned,164.5184
342,FDR24,17.35,Regular,0.062799379,Baking Goods,88.183
343,NCY18,7.285,Low Fat,0.031125709,Household,174.3054
344,NCY30,20.25,Low Fat,0.026005891,Household,180.9976
345,FDJ22,12.857645184135976,Low Fat,0.09246392,Snack Foods,190.9504
346,DRI37,15.85,Low Fat,0.107765165,Soft Drinks,59.5904
347,FDL27,6.17,Low Fat,0.010647477,Meat,66.3826
348,NCO30,19.5,Low Fat,0.015749341,Household,182.2608
349,NCB07,19.2,Low Fat,0.077628053,Household,197.611
350,FDX25,16.7,Low Fat,0.0,Canned,181.2292
351,FDP59,20.85,Regular,0.056695731,Breads,104.0648
352,FDR59,14.5,Regular,0.063993068,Breads,260.4594
353,FDT27,11.395,Regular,0.069529262,Meat,233.1616
354,DRI01,7.97,Low Fat,0.034452949,Soft Drinks,174.0422
355,FDU09,7.71,Regular,0.06670068,Snack Foods,55.2956
356,FDH26,19.25,Regular,0.034699737,Canned,141.7496
357,FDH27,7.075,Low Fat,0.058346939,Dairy,142.2128
358,FDN39,12.857645184135976,Regular,0.065203103,Meat,166.0816
359,FDH40,11.6,Regular,0.078929571,Frozen Foods,79.9276
360,FDJ56,12.857645184135976,Low Fat,0.182514881,Fruits and Vegetables,98.77
361,DRN47,12.1,Low Fat,0.016895293,Hard Drinks,178.566
362,NCO17,10.0,Low Fat,0.073379745,Health and Hygiene,118.244
363,FDX60,14.35,Low Fat,0.08075758,Baking Goods,81.896
364,FDT22,10.395,Low Fat,0.112271498,Snack Foods,58.222
365,FDX26,12.857645184135976,Low Fat,0.153741385,Dairy,182.6292
366,FDG45,8.1,Low Fat,0.127929521,Fruits and Vegetables,211.4902
367,FDD44,8.05,Regular,0.07838564,Fruits and Vegetables,256.4646
368,FDS15,9.195,Regular,0.078502143,Meat,108.7596
369,FDL51,20.7,Regular,0.047684831,Dairy,212.5876
370,FDL32,15.7,Regular,0.123159656,Fruits and Vegetables,110.1544
371,FDZ07,12.857645184135976,Regular,0.0,Fruits and Vegetables,60.2194
372,NCW53,12.857645184135976,Low Fat,0.053392944,Health and Hygiene,193.8162
373,NCA54,16.5,Low Fat,0.036715907,Household,180.0318
374,FDX09,9.0,Low Fat,0.065236932,Snack Foods,176.437
375,FDO51,6.785,Regular,0.041947547,Meat,41.2112
376,FDW49,19.5,Low Fat,0.082888496,Canned,178.6002
377,FDB27,7.575,Low Fat,0.055390121,Dairy,195.2768
378,FDF45,18.2,Regular,0.012194556,Fruits and Vegetables,57.7904
379,FDV02,16.75,Low Fat,0.060495243,Dairy,169.8106
380,FDY28,7.47,Regular,0.0,Frozen Foods,214.3218
381,FDX31,12.857645184135976,Regular,0.014753811,Fruits and Vegetables,231.7958
382,FDR43,12.857645184135976,Low Fat,0.160707489,Fruits and Vegetables,38.019
383,FDP51,13.85,Regular,0.085622362,Meat,119.4124
384,FDL52,6.635,Regular,0.046350909,Frozen Foods,37.4506
385,FDR44,6.11,Regular,0.102920886,Fruits and Vegetables,130.4968
386,FDB34,15.25,Low Fat,0.026604781,Snack Foods,86.2198
387,FDC50,15.85,Low Fat,0.0,Canned,96.4094
388,FDT57,15.2,Low Fat,0.031860325,Snack Foods,235.1248
389,FDP22,12.857645184135976,Regular,0.0,Snack Foods,52.6666
390,DRE49,20.75,LF,0.021250002,Soft Drinks,150.5024
391,FDM40,10.195,Low Fat,0.159936948,Frozen Foods,143.2154
392,FDY32,7.605,Low Fat,0.129503146,Fruits and Vegetables,164.021
393,FDW07,18.0,Regular,0.142688846,Fruits and Vegetables,88.5514
394,FDU02,12.857645184135976,Low Fat,0.179484411,Dairy,228.9352
395,NCF18,18.35,Low Fat,0.089163056,Household,191.3504
396,FDQ56,6.59,Low Fat,0.105761491,Fruits and Vegetables,84.8908
397,FDN58,13.8,reg,0.056960814,Snack Foods,230.0984
398,FDG35,21.2,Regular,0.00704098,Starchy Foods,173.5738
399,FDY34,10.5,Regular,0.011026594,Snack Foods,166.4842
400,NCE19,8.97,Low Fat,0.093203257,Household,52.7956
401,NCK31,12.857645184135976,Low Fat,0.026916794,Others,50.9666
402,NCJ29,10.6,Low Fat,0.035264298,Health and Hygiene,86.1224
403,FDT59,13.65,Low Fat,0.015908424,Breads,231.1668
