ID,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type
37,OUT027,1985,Medium,Tier 3,Supermarket Type3
38,OUT018,2009,Medium,Tier 3,Supermarket Type2
39,OUT027,1985,Medium,Tier 3,Supermarket Type3
40,OUT027,1985,Medium,Tier 3,Supermarket Type3
41,OUT046,1997,Small,Tier 1,Supermarket Type1
42,OUT013,1987,High,Tier 3,Supermarket Type1
43,OUT049,1999,Medium,Tier 1,Supermarket Type1
44,OUT018,2009,Medium,Tier 3,Supermarket Type2
45,OUT013,1987,High,Tier 3,Supermarket Type1
46,OUT010,1998,Medium,Tier 3,Grocery Store
47,OUT045,2002,Medium,Tier 2,Supermarket Type1
48,OUT045,2002,Medium,Tier 2,Supermarket Type1
49,OUT046,1997,Small,Tier 1,Supermarket Type1
50,OUT019,1985,Small,Tier 1,Grocery Store
51,OUT046,1997,Small,Tier 1,Supermarket Type1
52,OUT013,1987,High,Tier 3,Supermarket Type1
53,OUT013,1987,High,Tier 3,Supermarket Type1
54,OUT017,2007,Medium,Tier 2,Supermarket Type1
55,OUT017,2007,Medium,Tier 2,Supermarket Type1
56,OUT018,2009,Medium,Tier 3,Supermarket Type2
57,OUT045,2002,Medium,Tier 2,Supermarket Type1
58,OUT049,1999,Medium,Tier 1,Supermarket Type1
59,OUT046,1997,Small,Tier 1,Supermarket Type1
60,OUT019,1985,Small,Tier 1,Grocery Store
61,OUT018,2009,Medium,Tier 3,Supermarket Type2
62,OUT045,2002,Medium,Tier 2,Supermarket Type1
63,OUT027,1985,Medium,Tier 3,Supermarket Type3
64,OUT019,1985,Small,Tier 1,Grocery Store
65,OUT027,1985,Medium,Tier 3,Supermarket Type3
66,OUT010,1998,Medium,Tier 3,Grocery Store
67,OUT035,2004,Small,Tier 2,Supermarket Type1
68,OUT045,2002,Medium,Tier 2,Supermarket Type1
69,OUT045,2002,Medium,Tier 2,Supermarket Type1
70,OUT046,1997,Small,Tier 1,Supermarket Type1
71,OUT046,1997,Small,Tier 1,Supermarket Type1
72,OUT013,1987,High,Tier 3,Supermarket Type1
73,OUT045,2002,Medium,Tier 2,Supermarket Type1
74,OUT017,2007,Medium,Tier 2,Supermarket Type1
75,OUT049,1999,Medium,Tier 1,Supermarket Type1
76,OUT046,1997,Small,Tier 1,Supermarket Type1
77,OUT049,1999,Medium,Tier 1,Supermarket Type1
78,OUT019,1985,Small,Tier 1,Grocery Store
79,OUT017,2007,Medium,Tier 2,Supermarket Type1
80,OUT045,2002,Medium,Tier 2,Supermarket Type1
81,OUT046,1997,Small,Tier 1,Supermarket Type1
82,OUT046,1997,Small,Tier 1,Supermarket Type1
83,OUT018,2009,Medium,Tier 3,Supermarket Type2
84,OUT019,1985,Small,Tier 1,Grocery Store
85,OUT027,1985,Medium,Tier 3,Supermarket Type3
86,OUT017,2007,Medium,Tier 2,Supermarket Type1
87,OUT035,2004,Small,Tier 2,Supermarket Type1
88,OUT027,1985,Medium,Tier 3,Supermarket Type3
89,OUT046,1997,Small,Tier 1,Supermarket Type1
90,OUT049,1999,Medium,Tier 1,Supermarket Type1
91,OUT010,1998,Medium,Tier 3,Grocery Store
92,OUT049,1999,Medium,Tier 1,Supermarket Type1
93,OUT045,2002,Medium,Tier 2,Supermarket Type1
94,OUT035,2004,Small,Tier 2,Supermarket Type1
95,OUT035,2004,Small,Tier 2,Supermarket Type1
96,OUT019,1985,Small,Tier 1,Grocery Store
97,OUT049,1999,Medium,Tier 1,Supermarket Type1
98,OUT035,2004,Small,Tier 2,Supermarket Type1
99,OUT027,1985,Medium,Tier 3,Supermarket Type3
100,OUT046,1997,Small,Tier 1,Supermarket Type1
101,OUT045,2002,Medium,Tier 2,Supermarket Type1
102,OUT027,1985,Medium,Tier 3,Supermarket Type3
103,OUT049,1999,Medium,Tier 1,Supermarket Type1
104,OUT013,1987,High,Tier 3,Supermarket Type1
105,OUT018,2009,Medium,Tier 3,Supermarket Type2
106,OUT013,1987,High,Tier 3,Supermarket Type1
107,OUT013,1987,High,Tier 3,Supermarket Type1
108,OUT045,2002,Medium,Tier 2,Supermarket Type1
109,OUT019,1985,Small,Tier 1,Grocery Store
110,OUT013,1987,High,Tier 3,Supermarket Type1
111,OUT046,1997,Small,Tier 1,Supermarket Type1
112,OUT017,2007,Medium,Tier 2,Supermarket Type1
113,OUT019,1985,Small,Tier 1,Grocery Store
114,OUT027,1985,Medium,Tier 3,Supermarket Type3
115,OUT045,2002,Medium,Tier 2,Supermarket Type1
116,OUT049,1999,Medium,Tier 1,Supermarket Type1
117,OUT017,2007,Medium,Tier 2,Supermarket Type1
118,OUT035,2004,Small,Tier 2,Supermarket Type1
119,OUT017,2007,Medium,Tier 2,Supermarket Type1
120,OUT018,2009,Medium,Tier 3,Supermarket Type2
121,OUT017,2007,Medium,Tier 2,Supermarket Type1
122,OUT045,2002,Medium,Tier 2,Supermarket Type1
123,OUT010,1998,Medium,Tier 3,Grocery Store
124,OUT035,2004,Small,Tier 2,Supermarket Type1
125,OUT017,2007,Medium,Tier 2,Supermarket Type1
126,OUT035,2004,Small,Tier 2,Supermarket Type1
127,OUT046,1997,Small,Tier 1,Supermarket Type1
128,OUT017,2007,Medium,Tier 2,Supermarket Type1
129,OUT013,1987,High,Tier 3,Supermarket Type1
130,OUT045,2002,Medium,Tier 2,Supermarket Type1
131,OUT027,1985,Medium,Tier 3,Supermarket Type3
132,OUT046,1997,Small,Tier 1,Supermarket Type1
133,OUT027,1985,Medium,Tier 3,Supermarket Type3
134,OUT010,1998,Medium,Tier 3,Grocery Store
135,OUT018,2009,Medium,Tier 3,Supermarket Type2
136,OUT046,1997,Small,Tier 1,Supermarket Type1
137,OUT027,1985,Medium,Tier 3,Supermarket Type3
138,OUT045,2002,Medium,Tier 2,Supermarket Type1
139,OUT017,2007,Medium,Tier 2,Supermarket Type1
140,OUT010,1998,Medium,Tier 3,Grocery Store
141,OUT035,2004,Small,Tier 2,Supermarket Type1
142,OUT017,2007,Medium,Tier 2,Supermarket Type1
143,OUT045,2002,Medium,Tier 2,Supermarket Type1
144,OUT049,1999,Medium,Tier 1,Supermarket Type1
145,OUT035,2004,Small,Tier 2,Supermarket Type1
146,OUT049,1999,Medium,Tier 1,Supermarket Type1
147,OUT035,2004,Small,Tier 2,Supermarket Type1
148,OUT035,2004,Small,Tier 2,Supermarket Type1
149,OUT035,2004,Small,Tier 2,Supermarket Type1
150,OUT035,2004,Small,Tier 2,Supermarket Type1
151,OUT017,2007,Medium,Tier 2,Supermarket Type1
152,OUT018,2009,Medium,Tier 3,Supermarket Type2
153,OUT018,2009,Medium,Tier 3,Supermarket Type2
154,OUT027,1985,Medium,Tier 3,Supermarket Type3
155,OUT046,1997,Small,Tier 1,Supermarket Type1
156,OUT018,2009,Medium,Tier 3,Supermarket Type2
157,OUT018,2009,Medium,Tier 3,Supermarket Type2
158,OUT017,2007,Medium,Tier 2,Supermarket Type1
159,OUT017,2007,Medium,Tier 2,Supermarket Type1
160,OUT013,1987,High,Tier 3,Supermarket Type1
161,OUT013,1987,High,Tier 3,Supermarket Type1
162,OUT027,1985,Medium,Tier 3,Supermarket Type3
163,OUT018,2009,Medium,Tier 3,Supermarket Type2
164,OUT046,1997,Small,Tier 1,Supermarket Type1
165,OUT046,1997,Small,Tier 1,Supermarket Type1
166,OUT017,2007,Medium,Tier 2,Supermarket Type1
167,OUT017,2007,Medium,Tier 2,Supermarket Type1
168,OUT018,2009,Medium,Tier 3,Supermarket Type2
169,OUT027,1985,Medium,Tier 3,Supermarket Type3
170,OUT018,2009,Medium,Tier 3,Supermarket Type2
171,OUT035,2004,Small,Tier 2,Supermarket Type1
172,OUT017,2007,Medium,Tier 2,Supermarket Type1
173,OUT013,1987,High,Tier 3,Supermarket Type1
174,OUT013,1987,High,Tier 3,Supermarket Type1
175,OUT010,1998,Medium,Tier 3,Grocery Store
176,OUT010,1998,Medium,Tier 3,Grocery Store
177,OUT045,2002,Medium,Tier 2,Supermarket Type1
178,OUT010,1998,Medium,Tier 3,Grocery Store
179,OUT019,1985,Small,Tier 1,Grocery Store
180,OUT045,2002,Medium,Tier 2,Supermarket Type1
181,OUT027,1985,Medium,Tier 3,Supermarket Type3
182,OUT045,2002,Medium,Tier 2,Supermarket Type1
183,OUT019,1985,Small,Tier 1,Grocery Store
184,OUT013,1987,High,Tier 3,Supermarket Type1
185,OUT027,1985,Medium,Tier 3,Supermarket Type3
186,OUT018,2009,Medium,Tier 3,Supermarket Type2
187,OUT019,1985,Small,Tier 1,Grocery Store
188,OUT049,1999,Medium,Tier 1,Supermarket Type1
189,OUT045,2002,Medium,Tier 2,Supermarket Type1
190,OUT049,1999,Medium,Tier 1,Supermarket Type1
191,OUT049,1999,Medium,Tier 1,Supermarket Type1
192,OUT049,1999,Medium,Tier 1,Supermarket Type1
193,OUT045,2002,Medium,Tier 2,Supermarket Type1
194,OUT018,2009,Medium,Tier 3,Supermarket Type2
195,OUT027,1985,Medium,Tier 3,Supermarket Type3
196,OUT046,1997,Small,Tier 1,Supermarket Type1
197,OUT046,1997,Small,Tier 1,Supermarket Type1
198,OUT049,1999,Medium,Tier 1,Supermarket Type1
199,OUT027,1985,Medium,Tier 3,Supermarket Type3
200,OUT027,1985,Medium,Tier 3,Supermarket Type3
201,OUT045,2002,Medium,Tier 2,Supermarket Type1
202,OUT035,2004,Small,Tier 2,Supermarket Type1
203,OUT045,2002,Medium,Tier 2,Supermarket Type1
204,OUT027,1985,Medium,Tier 3,Supermarket Type3
205,OUT046,1997,Small,Tier 1,Supermarket Type1
206,OUT010,1998,Medium,Tier 3,Grocery Store
207,OUT049,1999,Medium,Tier 1,Supermarket Type1
208,OUT045,2002,Medium,Tier 2,Supermarket Type1
209,OUT019,1985,Small,Tier 1,Grocery Store
210,OUT010,1998,Medium,Tier 3,Grocery Store
211,OUT035,2004,Small,Tier 2,Supermarket Type1
212,OUT035,2004,Small,Tier 2,Supermarket Type1
213,OUT017,2007,Medium,Tier 2,Supermarket Type1
214,OUT045,2002,Medium,Tier 2,Supermarket Type1
215,OUT010,1998,Medium,Tier 3,Grocery Store
216,OUT010,1998,Medium,Tier 3,Grocery Store
217,OUT010,1998,Medium,Tier 3,Grocery Store
218,OUT010,1998,Medium,Tier 3,Grocery Store
219,OUT013,1987,High,Tier 3,Supermarket Type1
220,OUT035,2004,Small,Tier 2,Supermarket Type1
221,OUT049,1999,Medium,Tier 1,Supermarket Type1
222,OUT017,2007,Medium,Tier 2,Supermarket Type1
223,OUT046,1997,Small,Tier 1,Supermarket Type1
224,OUT017,2007,Medium,Tier 2,Supermarket Type1
225,OUT013,1987,High,Tier 3,Supermarket Type1
226,OUT019,1985,Small,Tier 1,Grocery Store
227,OUT013,1987,High,Tier 3,Supermarket Type1
228,OUT019,1985,Small,Tier 1,Grocery Store
229,OUT035,2004,Small,Tier 2,Supermarket Type1
230,OUT027,1985,Medium,Tier 3,Supermarket Type3
231,OUT027,1985,Medium,Tier 3,Supermarket Type3
232,OUT027,1985,Medium,Tier 3,Supermarket Type3
233,OUT045,2002,Medium,Tier 2,Supermarket Type1
234,OUT035,2004,Small,Tier 2,Supermarket Type1
235,OUT046,1997,Small,Tier 1,Supermarket Type1
236,OUT027,1985,Medium,Tier 3,Supermarket Type3
237,OUT019,1985,Small,Tier 1,Grocery Store
238,OUT013,1987,High,Tier 3,Supermarket Type1
239,OUT027,1985,Medium,Tier 3,Supermarket Type3
240,OUT027,1985,Medium,Tier 3,Supermarket Type3
241,OUT045,2002,Medium,Tier 2,Supermarket Type1
242,OUT017,2007,Medium,Tier 2,Supermarket Type1
243,OUT035,2004,Small,Tier 2,Supermarket Type1
244,OUT017,2007,Medium,Tier 2,Supermarket Type1
245,OUT035,2004,Small,Tier 2,Supermarket Type1
246,OUT035,2004,Small,Tier 2,Supermarket Type1
247,OUT013,1987,High,Tier 3,Supermarket Type1
248,OUT035,2004,Small,Tier 2,Supermarket Type1
249,OUT049,1999,Medium,Tier 1,Supermarket Type1
250,OUT017,2007,Medium,Tier 2,Supermarket Type1
251,OUT019,1985,Small,Tier 1,Grocery Store
252,OUT018,2009,Medium,Tier 3,Supermarket Type2
253,OUT049,1999,Medium,Tier 1,Supermarket Type1
254,OUT013,1987,High,Tier 3,Supermarket Type1
255,OUT045,2002,Medium,Tier 2,Supermarket Type1
256,OUT019,1985,Small,Tier 1,Grocery Store
257,OUT017,2007,Medium,Tier 2,Supermarket Type1
258,OUT013,1987,High,Tier 3,Supermarket Type1
259,OUT045,2002,Medium,Tier 2,Supermarket Type1
260,OUT017,2007,Medium,Tier 2,Supermarket Type1
261,OUT013,1987,High,Tier 3,Supermarket Type1
262,OUT035,2004,Small,Tier 2,Supermarket Type1
263,OUT017,2007,Medium,Tier 2,Supermarket Type1
264,OUT045,2002,Medium,Tier 2,Supermarket Type1
265,OUT045,2002,Medium,Tier 2,Supermarket Type1
266,OUT013,1987,High,Tier 3,Supermarket Type1
267,OUT013,1987,High,Tier 3,Supermarket Type1
268,OUT013,1987,High,Tier 3,Supermarket Type1
269,OUT017,2007,Medium,Tier 2,Supermarket Type1
270,OUT013,1987,High,Tier 3,Supermarket Type1
271,OUT046,1997,Small,Tier 1,Supermarket Type1
272,OUT013,1987,High,Tier 3,Supermarket Type1
273,OUT013,1987,High,Tier 3,Supermarket Type1
274,OUT035,2004,Small,Tier 2,Supermarket Type1
275,OUT046,1997,Small,Tier 1,Supermarket Type1
276,OUT027,1985,Medium,Tier 3,Supermarket Type3
277,OUT013,1987,High,Tier 3,Supermarket Type1
278,OUT017,2007,Medium,Tier 2,Supermarket Type1
279,OUT010,1998,Medium,Tier 3,Grocery Store
280,OUT027,1985,Medium,Tier 3,Supermarket Type3
281,OUT018,2009,Medium,Tier 3,Supermarket Type2
282,OUT035,2004,Small,Tier 2,Supermarket Type1
283,OUT027,1985,Medium,Tier 3,Supermarket Type3
284,OUT017,2007,Medium,Tier 2,Supermarket Type1
285,OUT019,1985,Small,Tier 1,Grocery Store
286,OUT035,2004,Small,Tier 2,Supermarket Type1
287,OUT010,1998,Medium,Tier 3,Grocery Store
288,OUT018,2009,Medium,Tier 3,Supermarket Type2
289,OUT035,2004,Small,Tier 2,Supermarket Type1
290,OUT049,1999,Medium,Tier 1,Supermarket Type1
291,OUT045,2002,Medium,Tier 2,Supermarket Type1
292,OUT027,1985,Medium,Tier 3,Supermarket Type3
293,OUT045,2002,Medium,Tier 2,Supermarket Type1
294,OUT018,2009,Medium,Tier 3,Supermarket Type2
295,OUT027,1985,Medium,Tier 3,Supermarket Type3
296,OUT049,1999,Medium,Tier 1,Supermarket Type1
297,OUT035,2004,Small,Tier 2,Supermarket Type1
298,OUT046,1997,Small,Tier 1,Supermarket Type1
299,OUT017,2007,Medium,Tier 2,Supermarket Type1
300,OUT046,1997,Small,Tier 1,Supermarket Type1
301,OUT027,1985,Medium,Tier 3,Supermarket Type3
302,OUT019,1985,Small,Tier 1,Grocery Store
303,OUT035,2004,Small,Tier 2,Supermarket Type1
304,OUT018,2009,Medium,Tier 3,Supermarket Type2
305,OUT045,2002,Medium,Tier 2,Supermarket Type1
306,OUT017,2007,Medium,Tier 2,Supermarket Type1
307,OUT045,2002,Medium,Tier 2,Supermarket Type1
308,OUT018,2009,Medium,Tier 3,Supermarket Type2
309,OUT046,1997,Small,Tier 1,Supermarket Type1
310,OUT035,2004,Small,Tier 2,Supermarket Type1
311,OUT035,2004,Small,Tier 2,Supermarket Type1
312,OUT046,1997,Small,Tier 1,Supermarket Type1
313,OUT046,1997,Small,Tier 1,Supermarket Type1
314,OUT027,1985,Medium,Tier 3,Supermarket Type3
315,OUT013,1987,High,Tier 3,Supermarket Type1
316,OUT045,2002,Medium,Tier 2,Supermarket Type1
317,OUT045,2002,Medium,Tier 2,Supermarket Type1
318,OUT010,1998,Medium,Tier 3,Grocery Store
319,OUT045,2002,Medium,Tier 2,Supermarket Type1
320,OUT027,1985,Medium,Tier 3,Supermarket Type3
321,OUT027,1985,Medium,Tier 3,Supermarket Type3
322,OUT049,1999,Medium,Tier 1,Supermarket Type1
323,OUT017,2007,Medium,Tier 2,Supermarket Type1
324,OUT017,2007,Medium,Tier 2,Supermarket Type1
325,OUT049,1999,Medium,Tier 1,Supermarket Type1
326,OUT010,1998,Medium,Tier 3,Grocery Store
327,OUT013,1987,High,Tier 3,Supermarket Type1
328,OUT045,2002,Medium,Tier 2,Supermarket Type1
329,OUT027,1985,Medium,Tier 3,Supermarket Type3
330,OUT045,2002,Medium,Tier 2,Supermarket Type1
331,OUT013,1987,High,Tier 3,Supermarket Type1
332,OUT027,1985,Medium,Tier 3,Supermarket Type3
333,OUT045,2002,Medium,Tier 2,Supermarket Type1
334,OUT027,1985,Medium,Tier 3,Supermarket Type3
335,OUT019,1985,Small,Tier 1,Grocery Store
336,OUT027,1985,Medium,Tier 3,Supermarket Type3
337,OUT046,1997,Small,Tier 1,Supermarket Type1
338,OUT045,2002,Medium,Tier 2,Supermarket Type1
339,OUT017,2007,Medium,Tier 2,Supermarket Type1
340,OUT017,2007,Medium,Tier 2,Supermarket Type1
341,OUT027,1985,Medium,Tier 3,Supermarket Type3
342,OUT013,1987,High,Tier 3,Supermarket Type1
343,OUT013,1987,High,Tier 3,Supermarket Type1
344,OUT045,2002,Medium,Tier 2,Supermarket Type1
345,OUT019,1985,Small,Tier 1,Grocery Store
346,OUT049,1999,Medium,Tier 1,Supermarket Type1
347,OUT049,1999,Medium,Tier 1,Supermarket Type1
348,OUT049,1999,Medium,Tier 1,Supermarket Type1
349,OUT049,1999,Medium,Tier 1,Supermarket Type1
350,OUT018,2009,Medium,Tier 3,Supermarket Type2
351,OUT018,2009,Medium,Tier 3,Supermarket Type2
352,OUT045,2002,Medium,Tier 2,Supermarket Type1
353,OUT013,1987,High,Tier 3,Supermarket Type1
354,OUT046,1997,Small,Tier 1,Supermarket Type1
355,OUT049,1999,Medium,Tier 1,Supermarket Type1
356,OUT046,1997,Small,Tier 1,Supermarket Type1
357,OUT046,1997,Small,Tier 1,Supermarket Type1
358,OUT027,1985,Medium,Tier 3,Supermarket Type3
359,OUT046,1997,Small,Tier 1,Supermarket Type1
360,OUT027,1985,Medium,Tier 3,Supermarket Type3
361,OUT018,2009,Medium,Tier 3,Supermarket Type2
362,OUT046,1997,Small,Tier 1,Supermarket Type1
363,OUT045,2002,Medium,Tier 2,Supermarket Type1
364,OUT049,1999,Medium,Tier 1,Supermarket Type1
365,OUT019,1985,Small,Tier 1,Grocery Store
366,OUT013,1987,High,Tier 3,Supermarket Type1
367,OUT035,2004,Small,Tier 2,Supermarket Type1
368,OUT017,2007,Medium,Tier 2,Supermarket Type1
369,OUT018,2009,Medium,Tier 3,Supermarket Type2
370,OUT017,2007,Medium,Tier 2,Supermarket Type1
371,OUT027,1985,Medium,Tier 3,Supermarket Type3
372,OUT019,1985,Small,Tier 1,Grocery Store
373,OUT045,2002,Medium,Tier 2,Supermarket Type1
374,OUT035,2004,Small,Tier 2,Supermarket Type1
375,OUT013,1987,High,Tier 3,Supermarket Type1
376,OUT018,2009,Medium,Tier 3,Supermarket Type2
377,OUT046,1997,Small,Tier 1,Supermarket Type1
378,OUT013,1987,High,Tier 3,Supermarket Type1
379,OUT013,1987,High,Tier 3,Supermarket Type1
380,OUT035,2004,Small,Tier 2,Supermarket Type1
381,OUT027,1985,Medium,Tier 3,Supermarket Type3
382,OUT027,1985,Medium,Tier 3,Supermarket Type3
383,OUT018,2009,Medium,Tier 3,Supermarket Type2
384,OUT017,2007,Medium,Tier 2,Supermarket Type1
385,OUT046,1997,Small,Tier 1,Supermarket Type1
386,OUT035,2004,Small,Tier 2,Supermarket Type1
387,OUT035,2004,Small,Tier 2,Supermarket Type1
388,OUT010,1998,Medium,Tier 3,Grocery Store
389,OUT027,1985,Medium,Tier 3,Supermarket Type3
390,OUT046,1997,Small,Tier 1,Supermarket Type1
391,OUT046,1997,Small,Tier 1,Supermarket Type1
392,OUT045,2002,Medium,Tier 2,Supermarket Type1
393,OUT046,1997,Small,Tier 1,Supermarket Type1
394,OUT019,1985,Small,Tier 1,Grocery Store
395,OUT045,2002,Medium,Tier 2,Supermarket Type1
396,OUT049,1999,Medium,Tier 1,Supermarket Type1
397,OUT049,1999,Medium,Tier 1,Supermarket Type1
398,OUT046,1997,Small,Tier 1,Supermarket Type1
399,OUT018,2009,Medium,Tier 3,Supermarket Type2
400,OUT045,2002,Medium,Tier 2,Supermarket Type1
401,OUT027,1985,Medium,Tier 3,Supermarket Type3
402,OUT045,2002,Medium,Tier 2,Supermarket Type1
403,OUT035,2004,Small,Tier 2,Supermarket Type1
404,OUT046,1997,Small,Tier 1,Supermarket Type1
405,OUT027,1985,Medium,Tier 3,Supermarket Type3
406,OUT019,1985,Small,Tier 1,Grocery Store
407,OUT049,1999,Medium,Tier 1,Supermarket Type1
408,OUT046,1997,Small,Tier 1,Supermarket Type1
409,OUT013,1987,High,Tier 3,Supermarket Type1
410,OUT027,1985,Medium,Tier 3,Supermarket Type3
411,OUT046,1997,Small,Tier 1,Supermarket Type1
412,OUT010,1998,Medium,Tier 3,Grocery Store
413,OUT018,2009,Medium,Tier 3,Supermarket Type2
414,OUT046,1997,Small,Tier 1,Supermarket Type1
415,OUT046,1997,Small,Tier 1,Supermarket Type1
416,OUT017,2007,Medium,Tier 2,Supermarket Type1
417,OUT035,2004,Small,Tier 2,Supermarket Type1
418,OUT019,1985,Small,Tier 1,Grocery Store
419,OUT045,2002,Medium,Tier 2,Supermarket Type1
420,OUT017,2007,Medium,Tier 2,Supermarket Type1
421,OUT010,1998,Medium,Tier 3,Grocery Store
422,OUT045,2002,Medium,Tier 2,Supermarket Type1
423,OUT049,1999,Medium,Tier 1,Supermarket Type1
424,OUT018,2009,Medium,Tier 3,Supermarket Type2
425,OUT049,1999,Medium,Tier 1,Supermarket Type1
426,OUT049,1999,Medium,Tier 1,Supermarket Type1
427,OUT018,2009,Medium,Tier 3,Supermarket Type2
428,OUT018,2009,Medium,Tier 3,Supermarket Type2
429,OUT045,2002,Medium,Tier 2,Supermarket Type1
430,OUT045,2002,Medium,Tier 2,Supermarket Type1
431,OUT019,1985,Small,Tier 1,Grocery Store
432,OUT046,1997,Small,Tier 1,Supermarket Type1
433,OUT049,1999,Medium,Tier 1,Supermarket Type1
434,OUT019,1985,Small,Tier 1,Grocery Store
435,OUT019,1985,Small,Tier 1,Grocery Store
436,OUT013,1987,High,Tier 3,Supermarket Type1
437,OUT046,1997,Small,Tier 1,Supermarket Type1
438,OUT045,2002,Medium,Tier 2,Supermarket Type1
439,OUT049,1999,Medium,Tier 1,Supermarket Type1
440,OUT013,1987,High,Tier 3,Supermarket Type1
441,OUT046,1997,Small,Tier 1,Supermarket Type1
442,OUT046,1997,Small,Tier 1,Supermarket Type1
443,OUT045,2002,Medium,Tier 2,Supermarket Type1
444,OUT049,1999,Medium,Tier 1,Supermarket Type1
445,OUT018,2009,Medium,Tier 3,Supermarket Type2
446,OUT035,2004,Small,Tier 2,Supermarket Type1
447,OUT019,1985,Small,Tier 1,Grocery Store
448,OUT013,1987,High,Tier 3,Supermarket Type1
449,OUT017,2007,Medium,Tier 2,Supermarket Type1
450,OUT027,1985,Medium,Tier 3,Supermarket Type3
451,OUT035,2004,Small,Tier 2,Supermarket Type1
452,OUT046,1997,Small,Tier 1,Supermarket Type1
453,OUT018,2009,Medium,Tier 3,Supermarket Type2
454,OUT045,2002,Medium,Tier 2,Supermarket Type1
455,OUT013,1987,High,Tier 3,Supermarket Type1
456,OUT035,2004,Small,Tier 2,Supermarket Type1
457,OUT027,1985,Medium,Tier 3,Supermarket Type3
458,OUT046,1997,Small,Tier 1,Supermarket Type1
459,OUT027,1985,Medium,Tier 3,Supermarket Type3
460,OUT013,1987,High,Tier 3,Supermarket Type1
461,OUT013,1987,High,Tier 3,Supermarket Type1
462,OUT017,2007,Medium,Tier 2,Supermarket Type1
463,OUT046,1997,Small,Tier 1,Supermarket Type1
464,OUT017,2007,Medium,Tier 2,Supermarket Type1
465,OUT018,2009,Medium,Tier 3,Supermarket Type2
466,OUT035,2004,Small,Tier 2,Supermarket Type1
467,OUT013,1987,High,Tier 3,Supermarket Type1
468,OUT017,2007,Medium,Tier 2,Supermarket Type1
469,OUT045,2002,Medium,Tier 2,Supermarket Type1
470,OUT018,2009,Medium,Tier 3,Supermarket Type2
471,OUT045,2002,Medium,Tier 2,Supermarket Type1
472,OUT045,2002,Medium,Tier 2,Supermarket Type1
473,OUT027,1985,Medium,Tier 3,Supermarket Type3
474,OUT049,1999,Medium,Tier 1,Supermarket Type1
475,OUT046,1997,Small,Tier 1,Supermarket Type1
476,OUT046,1997,Small,Tier 1,Supermarket Type1
477,OUT035,2004,Small,Tier 2,Supermarket Type1
478,OUT010,1998,Medium,Tier 3,Grocery Store
479,OUT045,2002,Medium,Tier 2,Supermarket Type1
480,OUT045,2002,Medium,Tier 2,Supermarket Type1
481,OUT013,1987,High,Tier 3,Supermarket Type1
482,OUT035,2004,Small,Tier 2,Supermarket Type1
483,OUT046,1997,Small,Tier 1,Supermarket Type1
484,OUT010,1998,Medium,Tier 3,Grocery Store
485,OUT035,2004,Small,Tier 2,Supermarket Type1
486,OUT027,1985,Medium,Tier 3,Supermarket Type3
487,OUT045,2002,Medium,Tier 2,Supermarket Type1
488,OUT019,1985,Small,Tier 1,Grocery Store
489,OUT046,1997,Small,Tier 1,Supermarket Type1
490,OUT019,1985,Small,Tier 1,Grocery Store
491,OUT019,1985,Small,Tier 1,Grocery Store
492,OUT027,1985,Medium,Tier 3,Supermarket Type3
